order_date,city,restaurant_category,cuisine,order_value,discount_percent,delivery_time_min,rating,profit_per_order
2023-01-01,Karachi,Fine Dining,Continental,2768.0,25.0,36.2,4.5,95.0
2023-01-01,Karachi,Fine Dining,Steakhouse,4979.0,44.8,23.3,4.8,-437.0
2023-01-01,Karachi,Cloud Kitchen,Indian,4008.0,11.9,39.6,4.2,618.0
2023-01-01,Islamabad,Fine Dining,Steakhouse,3260.0,8.3,35.8,4.5,423.0
2023-01-01,Karachi,Fast Food,Pizza,435.0,13.5,29.4,4.8,53.0
2023-01-01,Islamabad,Dessert,Sweets,701.0,14.7,35.8,4.2,78.0
2023-01-01,Lahore,Dessert,Ice Cream,339.0,20.4,39.0,4.6,-112.0
2023-01-01,Faisalabad,Fast Food,Sandwiches,748.0,15.8,30.4,4.3,53.0
2023-01-02,Lahore,Cafe,Sandwiches,562.0,6.5,29.5,4.8,69.0
2023-01-02,Multan,Dessert,Cakes,150.0,28.7,49.7,4.2,-158.0
2023-01-02,Karachi,Fine Dining,Fusion,1541.0,12.0,46.9,4.5,219.0
2023-01-02,Karachi,Fine Dining,Continental,3861.0,12.5,19.6,4.9,482.0
2023-01-02,Faisalabad,Fast Food,Fried Chicken,266.0,8.2,25.0,4.8,11.0
2023-01-03,Lahore,Cloud Kitchen,Italian,1844.0,11.5,28.0,4.6,275.0
2023-01-03,Karachi,Fine Dining,Steakhouse,3381.0,11.9,29.3,4.4,412.0
2023-01-03,Lahore,Dessert,Cakes,420.0,10.6,31.5,4.5,30.0
2023-01-03,Lahore,Cloud Kitchen,Biryani,1861.0,34.4,42.5,4.3,-16.0
2023-01-03,Karachi,Cafe,Coffee & Snacks,647.0,6.1,37.5,3.8,122.0
2023-01-03,Karachi,Dessert,Sweets,606.0,24.5,46.3,4.6,68.0
2023-01-03,Lahore,Cloud Kitchen,Biryani,1724.0,2.2,14.0,4.0,330.0
2023-01-03,Lahore,Fast Food,Burgers,730.0,10.6,23.4,4.3,143.0
2023-01-03,Lahore,Cloud Kitchen,Chinese,2326.0,11.1,39.6,4.0,346.0
2023-01-03,Faisalabad,Fine Dining,Continental,3286.0,9.2,36.0,4.0,435.0
2023-01-03,Karachi,Cafe,Sandwiches,450.0,8.5,24.5,4.6,2.0
2023-01-03,Faisalabad,Dessert,Ice Cream,714.0,23.1,50.9,3.9,38.0
2023-01-03,Lahore,Cafe,Bakery,676.0,19.0,32.2,4.4,89.0
